Monat / Jahr,2015,2016,2017,2018,2019,2020,2021,2022
Januar,208,181,176,226,232,229,178,162
Februar,171,182,149,196,170,158,186,162
März,174,190,193,178,181,176,191,180
April,172,192,187,187,186,187,214,151
Mai,145,194,188,188,198,187,162,167
Juni,187,211,173,197,159,192,179,209
Juli,248,212,188,216,188,201,169,176
August,210,195,208,212,250,177,193,198
September,186,219,192,187,200,169,175,163
Oktober,162,201,186,218,226,195,202,213
November,189,179,218,138,166,187,170,228
Dezember,171,163,169,139,162,200,176,131
GESAMT,2223,2319,2227,2282,2318,2258,2195,2140
