Monat / Jahr,2015,2016,2017,2018,2019,2020,2021,2022
Januar,263,201,232,232,220,220,239,217
Februar,241,211,209,201,193,182,207,201
März,220,200,239,286,225,228,226,267
April,223,227,177,215,224,210,226,219
Mai,188,188,238,190,224,196,188,200
Juni,146,202,174,153,161,206,186,180
Juli,227,174,169,192,184,202,191,194
August,190,183,157,189,212,222,201,247
September,187,177,191,180,177,208,197,250
Oktober,187,200,196,188,195,182,201,190
November,203,199,194,189,188,196,220,235
Dezember,184,199,182,170,228,234,235,270
GESAMT,2459,2361,2358,2385,2431,2486,2517,2670
