FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187bdca2256_1438,5334002,1001,Abteiplatz
strassennamen.fid--3213a59_187bdca2256_1439,5334002,1002,Abteistraße
strassennamen.fid--3213a59_187bdca2256_143a,5334002,1004,Achterstraße
strassennamen.fid--3213a59_187bdca2256_143b,5334002,1005,Adalbert-Stifter-Straße
strassennamen.fid--3213a59_187bdca2256_143c,5334002,1006,Adalbertsberg
strassennamen.fid--3213a59_187bdca2256_143d,5334002,1008,Adalbertstift
strassennamen.fid--3213a59_187bdca2256_143e,5334002,1009,Adalbertstraße
strassennamen.fid--3213a59_187bdca2256_143f,5334002,1011,Adlerberg
strassennamen.fid--3213a59_187bdca2256_1440,5334002,1012,Nelly-Sachs-Straße
strassennamen.fid--3213a59_187bdca2256_1441,5334002,1013,Ahornstraße
strassennamen.fid--3213a59_187bdca2256_1442,5334002,1014,Albert-Maas-Straße
strassennamen.fid--3213a59_187bdca2256_1443,5334002,1015,Alexanderstraße
strassennamen.fid--3213a59_187bdca2256_1444,5334002,1016,Alexianergraben
strassennamen.fid--3213a59_187bdca2256_1445,5334002,1017,Alfonsstraße
strassennamen.fid--3213a59_187bdca2256_1446,5334002,1018,Alkuinstraße
strassennamen.fid--3213a59_187bdca2256_1447,5334002,1019,Alsenstraße
strassennamen.fid--3213a59_187bdca2256_1448,5334002,1020,Altdorfstraße
strassennamen.fid--3213a59_187bdca2256_1449,5334002,1023,Altstraße
strassennamen.fid--3213a59_187bdca2256_144a,5334002,1024,Altenberger Straße
strassennamen.fid--3213a59_187bdca2256_144b,5334002,1025,Am Backes
strassennamen.fid--3213a59_187bdca2256_144c,5334002,1026,Am Beverbach
strassennamen.fid--3213a59_187bdca2256_144d,5334002,1028,Am Blockhaus
strassennamen.fid--3213a59_187bdca2256_144e,5334002,1029,Am Branderhof
strassennamen.fid--3213a59_187bdca2256_144f,5334002,1030,Ambrosiusstraße
strassennamen.fid--3213a59_187bdca2256_1450,5334002,1031,Am Chorusberg
strassennamen.fid--3213a59_187bdca2256_1451,5334002,1032,Am Dorbach
strassennamen.fid--3213a59_187bdca2256_1452,5334002,1033,Am Friedrich
strassennamen.fid--3213a59_187bdca2256_1453,5334002,1034,Am Hangeweiher
strassennamen.fid--3213a59_187bdca2256_1454,5334002,1035,Am Hasselholz
strassennamen.fid--3213a59_187bdca2256_1455,5334002,1036,Am Höfling
strassennamen.fid--3213a59_187bdca2256_1456,5334002,1037,Am Hügel
strassennamen.fid--3213a59_187bdca2256_1457,5334002,1038,Karolingerstraße
strassennamen.fid--3213a59_187bdca2256_1458,5334002,1039,Elleterweg
strassennamen.fid--3213a59_187bdca2256_1459,5334002,1040,Am Kupferofen
strassennamen.fid--3213a59_187bdca2256_145a,5334002,1041,Am Lavenstein
strassennamen.fid--3213a59_187bdca2256_145b,5334002,1042,Am Neuenhof
strassennamen.fid--3213a59_187bdca2256_145c,5334002,1043,Am Pappelweiher
